team,league,matches_played,avg_yellows_per_game,avg_reds_per_game,avg_fouls_per_game,yellow_trend,aggression_index,home_yellow_avg,away_yellow_avg,away_card_premium,last_match_date,days_since_last,matches_last_21d,matches_last_7d
Southend,Championship,46.0,1.5,0.087,12.848,0.4667,0.3193,1.217,1.783,0.565,2007-05-06,6965,0,0
Sp Gijon,Segunda,604.0,2.561,0.109,14.578,0.0151,0.5386,2.482,2.641,0.159,2026-05-24,7,2,1
Spal,SerieB,228.0,2.711,0.105,13.899,-0.1146,0.5165,2.658,2.763,0.105,2023-05-19,1108,0,0
Spezia,SerieB,344.0,2.424,0.142,15.166,0.0312,0.5652,2.308,2.541,0.233,2026-05-08,23,0,0
St Brieuc,Ligue2,,,,,,,,,,1997-05-24,10599,0,0
St Etienne,Ligue2,704.0,1.798,0.114,14.2,-0.1659,0.4345,1.648,1.949,0.301,2026-05-09,22,0,0
St Johnstone,ScottishPrem,675.0,1.799,0.098,11.573,0.0008,0.2849,1.705,1.893,0.188,2025-05-18,378,0,0
St Mirren,ScottishPrem,676.0,1.654,0.105,11.386,-0.093,0.2605,1.525,1.783,0.258,2026-05-17,14,2,0
St Pauli,Bundesliga,390.0,1.892,0.1,12.295,-0.0488,0.3358,1.747,2.036,0.288,2026-05-16,15,1,0
Stockport,Championship,92.0,1.565,0.174,13.152,-0.2972,0.3674,1.152,1.978,0.826,2002-04-21,8806,0,0
