match_date,league,home_team,away_team,outcome,p_model,odds,implied_prob,edge,EV,kelly_fraction,half_kelly,actual_result,won,profit_flat,profit_kelly,clv
2024-04-06,Segunda,Eldense,Andorra,H,0.4893,2.3,0.4348,0.0736,0.1255,0.0965,0.0483,A,0,-1.0,-0.0483,0.1182
2024-04-06,Segunda,Levante,Zaragoza,H,0.5284,2.15,0.4651,0.0858,0.136,0.1183,0.0591,H,1,1.15,0.068,0.1275
2024-04-06,Championship,Cardiff,Hull,H,0.3955,3.1,0.3226,0.087,0.2261,0.1076,0.0538,A,0,-1.0,-0.0538,0.2038
2024-04-06,SerieA,Milan,Lecce,H,0.7737,1.36,0.7353,0.0823,0.0522,0.145,0.0725,H,1,0.36,0.0261,0.0509
2024-04-06,Championship,Stoke,West Brom,A,0.4454,2.8,0.3571,0.1066,0.2471,0.1373,0.0686,D,0,-1.0,-0.0686,0.2209
2024-04-06,Bundesliga,Dortmund,Stuttgart,H,0.5922,2.25,0.4444,0.1695,0.3324,0.2659,0.133,A,0,-1.0,-0.133,0.287
2024-04-06,Ligue2,Pau FC,Ajaccio,H,0.4686,2.55,0.3922,0.0983,0.195,0.1258,0.0629,D,0,-1.0,-0.0629,0.1782
2024-04-06,Bundesliga2,Hamburg,Kaiserslautern,H,0.6354,1.65,0.6061,0.0568,0.0483,0.0744,0.0372,H,1,0.65,0.0242,0.0472
2024-04-06,EPL,Brighton,Arsenal,H,0.247,5.0,0.2,0.0562,0.2349,0.0587,0.0294,A,0,-1.0,-0.0294,0.211
2024-04-06,SerieB,Ternana,Modena,H,0.394,2.8,0.3571,0.0553,0.1033,0.0574,0.0287,D,0,-1.0,-0.0287,0.0983
2024-04-06,SerieB,Sudtirol,Parma,H,0.2947,4.5,0.2222,0.0829,0.3263,0.0932,0.0466,D,0,-1.0,-0.0466,0.2824
2024-04-06,SerieB,FeralpiSalo,Cosenza,H,0.4632,2.55,0.3922,0.0895,0.1811,0.1169,0.0584,D,0,-1.0,-0.0584,0.1665
2024-04-06,Ligue2,Bastia,Dunkerque,H,0.5138,2.05,0.4878,0.053,0.0532,0.0507,0.0253,D,0,-1.0,-0.0253,0.0518
2024-04-06,Bundesliga,Freiburg,RB Leipzig,H,0.313,4.75,0.2105,0.112,0.4868,0.1298,0.0649,A,0,-1.0,-0.0649,0.3966
2024-04-06,Bundesliga,Mainz,Darmstadt,D,0.2588,5.0,0.2,0.0679,0.2942,0.0735,0.0368,H,0,-1.0,-0.0368,0.2579
2024-04-06,Bundesliga,Mainz,Darmstadt,A,0.1904,7.5,0.1333,0.0631,0.428,0.0658,0.0329,H,0,-1.0,-0.0329,0.3563
2024-04-06,SerieB,Brescia,Pisa,H,0.4484,2.7,0.3704,0.0923,0.2107,0.1239,0.062,H,1,1.7,0.1054,0.1912
2024-04-07,Segunda,Cartagena,Valladolid,H,0.3334,3.8,0.2632,0.083,0.2671,0.0954,0.0477,A,0,-1.0,-0.0477,0.2367
2024-04-07,Segunda,Tenerife,Eibar,A,0.3848,3.2,0.3125,0.0849,0.2313,0.1051,0.0526,H,0,-1.0,-0.0526,0.208
2024-04-07,ScottishPrem,Rangers,Celtic,H,0.4897,2.2,0.4545,0.0588,0.0774,0.0645,0.0322,D,0,-1.0,-0.0322,0.0745
2024-04-07,Segunda,Espanol,Albacete,H,0.5839,1.8,0.5556,0.0546,0.051,0.0638,0.0319,H,1,0.8,0.0255,0.0498
2024-04-07,EPL,Sheffield United,Chelsea,H,0.2202,7.0,0.1429,0.0839,0.5417,0.0903,0.0451,D,0,-1.0,-0.0451,0.4329
2024-04-07,SerieB,Ascoli,Venezia,H,0.3072,3.75,0.2667,0.0522,0.1521,0.0553,0.0276,D,0,-1.0,-0.0276,0.1416
2024-04-07,Bundesliga,Hoffenheim,Augsburg,D,0.3,4.0,0.25,0.0618,0.2001,0.0667,0.0333,H,0,-1.0,-0.0333,0.1824
2024-04-07,Bundesliga2,Fortuna Dusseldorf,Braunschweig,H,0.6374,1.7,0.5882,0.0779,0.0835,0.1194,0.0597,H,1,0.7,0.0418,0.0802
2024-04-08,SerieA,Udinese,Inter,A,0.6955,1.5,0.6667,0.0561,0.0432,0.0864,0.0432,A,1,0.5,0.0216,0.0423
2024-04-09,Championship,Preston,Huddersfield,H,0.4968,2.63,0.3802,0.1347,0.3067,0.1881,0.0941,H,1,1.63,0.1533,0.2675
2024-04-09,Championship,Plymouth,QPR,H,0.4126,3.1,0.3226,0.1055,0.279,0.1329,0.0664,D,0,-1.0,-0.0664,0.2461
2024-04-10,Championship,Birmingham,Cardiff,A,0.3381,4.2,0.2381,0.1108,0.4201,0.1313,0.0656,A,1,3.2,0.21,0.3507
2024-04-10,Championship,Swansea,Stoke,H,0.4635,2.4,0.4167,0.0678,0.1124,0.0803,0.0401,H,1,1.4,0.0562,0.1065
2024-04-10,Championship,Bristol City,Blackburn,H,0.4693,2.5,0.4,0.0868,0.1732,0.1155,0.0577,H,1,1.5,0.0866,0.1597
2024-04-12,Bundesliga2,Hertha,Hansa Rostock,H,0.6081,1.73,0.578,0.0585,0.052,0.0712,0.0356,H,1,0.73,0.026,0.0507
2024-04-12,Bundesliga2,Greuther Furth,Kaiserslautern,H,0.4977,2.75,0.3636,0.1512,0.3687,0.2107,0.1053,H,1,1.75,0.1843,0.3138
2024-04-12,LaLiga,Betis,Celta,H,0.5244,2.1,0.4762,0.0735,0.1013,0.0921,0.0461,H,1,1.1,0.0507,0.0965
2024-04-13,ScottishPrem,St Johnstone,Kilmarnock,H,0.3228,3.8,0.2632,0.0719,0.2266,0.0809,0.0405,A,0,-1.0,-0.0405,0.2042
2024-04-13,ScottishPrem,Motherwell,Hibernian,H,0.4441,2.7,0.3704,0.0911,0.1991,0.1171,0.0586,D,0,-1.0,-0.0586,0.1816
2024-04-13,ScottishPrem,Hearts,Livingston,H,0.7353,1.4,0.7143,0.0596,0.0294,0.0736,0.0368,H,1,0.4,0.0147,0.029
2024-04-13,SerieB,Parma,Spezia,H,0.5959,1.73,0.578,0.05,0.031,0.0424,0.0212,H,1,0.73,0.0155,0.0305
2024-04-13,Ligue2,Dunkerque,Guingamp,H,0.318,3.5,0.2857,0.0519,0.1131,0.0452,0.0226,A,0,-1.0,-0.0226,0.1071
2024-04-13,Bundesliga2,Holstein Kiel,Osnabruck,H,0.6859,1.5,0.6667,0.0517,0.0289,0.0577,0.0289,H,1,0.5,0.0144,0.0285
2024-04-13,Bundesliga2,Schalke 04,Nurnberg,A,0.2417,5.0,0.2,0.051,0.2087,0.0522,0.0261,H,0,-1.0,-0.0261,0.1895
2024-04-13,Bundesliga,Bochum,Heidenheim,A,0.3366,3.3,0.303,0.0501,0.1109,0.0482,0.0241,D,0,-1.0,-0.0241,0.1051
2024-04-13,Bundesliga,M'gladbach,Dortmund,A,0.5572,2.0,0.5,0.0845,0.1144,0.1144,0.0572,A,1,1.0,0.0572,0.1083
2024-04-13,Bundesliga,Stuttgart,Ein Frankfurt,A,0.2327,5.5,0.1818,0.0608,0.2797,0.0622,0.0311,H,0,-1.0,-0.0311,0.2466
2024-04-13,Championship,Birmingham,Coventry,A,0.4817,2.25,0.4444,0.0629,0.0839,0.0671,0.0336,H,0,-1.0,-0.0336,0.0806
2024-04-13,LaLiga,Cadiz,Barcelona,A,0.6494,1.83,0.5464,0.1315,0.1883,0.2269,0.1135,A,1,0.83,0.0942,0.1726
2024-04-13,LaLiga,Mallorca,Real Madrid,A,0.686,1.75,0.5714,0.1414,0.2005,0.2673,0.1337,A,1,0.75,0.1003,0.1827
2024-04-13,Championship,Sheffield Weds,Stoke,H,0.4129,2.63,0.3802,0.0508,0.0858,0.0527,0.0263,D,0,-1.0,-0.0263,0.0823
2024-04-13,Ligue2,Ajaccio,St Etienne,H,0.3001,4.0,0.25,0.0667,0.2004,0.0668,0.0334,H,1,3.0,0.1002,0.1827
2024-04-13,LaLiga,Ath Madrid,Girona,H,0.5478,1.91,0.5236,0.0559,0.0463,0.0508,0.0254,H,1,0.91,0.0231,0.0452
2024-04-13,EPL,Bournemouth,Man United,A,0.4163,2.6,0.3846,0.0526,0.0823,0.0515,0.0257,D,0,-1.0,-0.0257,0.0791
2024-04-13,Ligue2,Troyes,Paris FC,H,0.3524,3.3,0.303,0.0695,0.1631,0.0709,0.0355,A,0,-1.0,-0.0355,0.1511
2024-04-13,LaLiga,Vallecano,Getafe,A,0.307,3.7,0.2703,0.0516,0.1359,0.0503,0.0252,D,0,-1.0,-0.0252,0.1274
2024-04-13,Championship,Hull,QPR,H,0.5188,2.05,0.4878,0.0536,0.0636,0.0605,0.0303,H,1,1.05,0.0318,0.0616
2024-04-13,Championship,Millwall,Cardiff,A,0.2876,4.75,0.2105,0.089,0.3662,0.0976,0.0488,H,0,-1.0,-0.0488,0.312
