team,elo_rating,matches_played,last_match_date,confederation
Sint Maarten,1326.73,60,2026-03-30,CONCACAF
Hong Kong,1323.31,447,2026-06-09,AFC
Singapore,1320.98,696,2026-06-05,AFC
Saint Kitts and Nevis,1316.63,226,2026-03-30,CONCACAF
Tibet,1312.87,21,2025-07-03,Other / Non-FIFA
Eswatini,1308.33,274,2025-10-13,CAF
Belize,1308.25,121,2026-03-30,CONCACAF
Grenada,1303.19,260,2026-05-16,CONCACAF
Yemen,1302.92,266,2025-11-26,AFC
Samoa,1302.52,71,2024-11-18,OFC
Tuvalu,1294.06,39,2023-11-30,OFC
Saint Martin,1290.54,68,2026-03-29,Other / Non-FIFA
Falkland Islands,1283.96,33,2023-07-13,Other / Non-FIFA
South Sudan,1280.28,78,2025-11-25,CAF
Saint Lucia,1278.31,230,2026-03-27,CONCACAF
India,1275.31,534,2026-06-09,AFC
Montserrat,1275.19,66,2025-06-10,CONCACAF
Frøya,1269.65,37,2025-07-17,Other / Non-FIFA
Chad,1260.1,138,2025-11-17,CAF
Eritrea,1237.79,71,2019-09-10,CAF
Cook Islands,1237.5,53,2024-09-06,OFC
Aruba,1233.74,152,2026-06-06,CONCACAF
Mauritius,1223.86,325,2025-10-13,CAF
Dominica,1221.31,215,2026-03-30,CONCACAF
Bonaire,1217.76,44,2026-06-06,Other / Non-FIFA
Gibraltar,1209.12,160,2026-06-06,UEFA
Antigua and Barbuda,1208.54,231,2025-11-18,CONCACAF
Afghanistan,1208.03,147,2026-06-10,AFC
São Tomé and Príncipe,1203.57,71,2025-10-13,CAF
Barbados,1190.55,302,2026-03-29,CONCACAF
Myanmar,1183.73,512,2026-06-09,AFC
Bangladesh,1172.27,305,2026-06-05,AFC
Tonga,1169.64,68,2024-09-09,OFC
Andorra,1163.35,229,2026-06-07,UEFA
Nepal,1161.27,268,2025-11-18,AFC
Turks and Caicos Islands,1148.05,52,2025-08-16,CONCACAF
Taiwan,1143.44,245,2025-11-18,AFC
Cayman Islands,1129.26,120,2026-06-06,CONCACAF
Alderney,1128.67,135,2022-04-23,Other / Non-FIFA
Pakistan,1128.63,251,2026-06-10,AFC
Cambodia,1127.33,295,2026-06-09,AFC
Northern Mariana Islands,1105.97,30,2024-04-07,AFC
British Virgin Islands,1100.21,123,2026-06-06,CONCACAF
Djibouti,1097.87,111,2025-11-26,CAF
Somalia,1097.69,124,2025-11-26,CAF
Bahamas,1081.28,67,2026-03-29,CONCACAF
United States Virgin Islands,1078.63,78,2026-03-28,CONCACAF
American Samoa,1078.0,55,2026-03-28,OFC
Maldives,1075.15,233,2026-06-01,AFC
Sri Lanka,1068.12,251,2025-11-18,AFC
Mongolia,1062.93,103,2026-06-05,AFC
Seychelles,1059.1,176,2025-10-14,CAF
Guam,1057.93,123,2026-06-06,AFC
Liechtenstein,1048.7,259,2026-06-07,UEFA
Laos,1014.52,224,2025-11-19,AFC
Anguilla,1004.56,91,2026-03-29,CONCACAF
Brunei,984.42,137,2025-11-18,AFC
Timor-Leste,971.22,86,2025-11-18,AFC
San Marino,961.87,225,2026-06-09,UEFA
Bhutan,934.87,110,2026-06-04,AFC
Macau,934.48,148,2026-03-29,AFC
